id    ra              dec             x               y               major           minor           orient          offaxis         azi             srccounts       ctrate          ctrate_err      flux            sig             p(point)          sizetest pntcon?  r1con?
35    25.1328         -54.4825        298.96          316.4           3.25601         3.25601         395.33          5.32255         186.645         361.25          0.00249836      0.000110806     2.49836e-14     4.39339e-192    0.355                   ok      ok      ok
36    25.4239         -54.4807        159             317.708         3.26638         3.26638         237.884         8.34635         29.1998         160.936         0.0017562       0.000124983     1.7562e-14      1.27031e-116    0.32                    ok      ok      ok
37    25.3201         -54.4719        208.875         325.125         3.18689         3.18689         214.766         6.05594         6.08112         30.7189         0.000260912     4.47663e-05     2.60912e-15     3.36473e-09     0.59                    ok      ok      ok
38    25.3887         -54.4624        175.889         332.944         3.41767         3.41767         226.524         8.05431         17.8394         90.3871         0.000926904     9.32813e-05     9.26904e-15     6.37363e-47     0.01                    ok      ok      ok
39    25.0576         -54.4471        335.188         345.625         3.19984         3.19984         401.441         8.61901         192.756         63.9584         0.000569885     6.76432e-05     5.69885e-15     6.52635e-27     0.415                   ok      ok      ok
40    25.2672         -54.4213        234.286         367             2.786           2.786           551.37          8.1712          342.686         28.0216         0.000327055     5.39462e-05     3.27055e-15     7.65404e-11     0.87                    ok      ok      ok
41    25.344          -54.4139        197.312         373.125         3.16022         3.16022         566.911         9.4817          358.227         69.3367         0.000819776     9.073e-05       8.19776e-15     1.0479e-32      0.84                    ok      ok      ok
42    25.3107         -54.4115        213.364         375.091         3.21291         3.21291         559.992         9.14871         351.307         47.7454         0.000545876     7.74418e-05     5.45876e-15     6.46081e-19     0.94                    ok      ok      ok
43    24.8893         -54.3983        416.333         385.667         3.13094         3.13094         411.057         14.8982         202.373         18.8913         0.000300352     6.94522e-05     3.00352e-15     9.5471e-07      0.19                    ok      ok      ok
44    25.4095         -54.3886        165.714         394             3.10126         3.10126         213.438         11.9455         4.75344         35.8029         0.000549771     9.06918e-05     5.49771e-15     4.42756e-14     0.965                   ok      ok      ok
45    25.1284         -54.3662        301.2           412.6           2.80179         2.80179         375.978         11.7716         167.293         27.2259         0.000382289     7.19289e-05     3.82289e-15     5.91232e-10     0.73                    ok      ok      ok
46    25.0854         -54.3617        321.955         416.318         2.78642         2.78642         382.271         12.5204         173.586         85.918          0.00130159      0.000119449     1.30159e-14     4.94043e-59     0.375                   ok      ok      ok
47    25.0461         -54.3538        340.923         422.808         3.04496         3.04496         386.913         13.5213         178.228         139.602         0.00220294      0.000161574     2.20294e-14     4.48759e-109    0.01                    ok      ok      ok
