   id             ra            dec              x              y          major          minor         orient        offaxis            azi      srccounts         ctrate     ctrate_err           flux            sig       p(point)  sizetest pntcon?  r1con?
   32      25.515648     -54.484359        114.889        314.556        3.16029        3.16029        292.289      11.096322      83.604678      34.656920  0.00048529002    8.15656e-05  4.8529003e-15  3.2920907e-10    0.045000000        ok      ok      ok
   33      25.132782     -54.482457        298.960        316.400        3.25601        3.25601        395.330      5.3225497      186.64520      361.74136   0.0024356134    0.000110915  2.4356134e-14 2.3593755e-190     0.32000000        ok      ok      ok
   34      25.423879     -54.480739        159.000        317.708        3.26638        3.26638        302.116      8.3463487      93.431028      162.01616   0.0017695782    0.000125819  1.7695782e-14 3.1272926e-112     0.37500000        ok      ok      ok
   35      25.320126     -54.471906        208.875        325.125        3.18689        3.18689        325.234      6.0559378      116.54971      31.399249  0.00025847927    4.47663e-05  2.5847928e-15  1.1193816e-09     0.52000000        ok      ok      ok
   36      25.388677     -54.462382        175.889        332.944        3.41767        3.41767        313.476      8.0543112      104.79141      90.439453  0.00091687295    9.32813e-05  9.1687297e-15  4.9405052e-47    0.015000000        ok      ok      ok
   37      24.989301     -54.461863        368.000        333.286        3.81888        3.81888        415.447      9.8146314      206.76226      27.270210  0.00057679126    0.000131122  5.7679127e-15  1.8736381e-09     0.12000000        ok      ok      ok
   38      25.057572     -54.447065        335.188        345.625        3.19984        3.19984        401.441      8.6190089      192.75629      67.649516  0.00060303104    6.95267e-05  6.0303105e-15  2.8662424e-28     0.62000000        ok      ok      ok
   39      25.267230     -54.421339        234.286        367.000        2.78600        2.78600        348.630      8.1712032      139.94522      27.770727  0.00032564511    5.34789e-05  3.2564512e-15  1.3718247e-10     0.91000000        ok      ok      ok
   40      25.343995     -54.413884        197.312        373.125        3.16022        3.16022        333.089      9.4817005      124.40392      68.565850  0.00080333413    9.07340e-05  8.0333415e-15  2.0617327e-31     0.90500000        ok      ok      ok
   41      25.310659     -54.411538        213.364        375.091        3.19183        3.19183        340.008      9.1487057      131.32384      47.909344  0.00053125900    7.74418e-05  5.3125901e-15  4.0874403e-19     0.86500000        ok      ok      ok
   42      24.889339     -54.398337        416.333        385.667        3.13095        3.13095        411.057      14.898245      202.37269      18.110763  0.00028473427    6.95967e-05  2.8473428e-15  3.1648086e-06     0.22500000        ok      ok      ok
